text,intent
how does the team handle failed builds?,deployment_process
what’s the deployment verification step?,deployment_process
do we deploy manually or automated?,deployment_process
where can i find deployment playbooks?,deployment_process
who tracks deployment metrics?,deployment_process
how do i prepare a release note?,deployment_process
is there a downtime policy during deploys?,deployment_process
what’s the standard deployment frequency?,deployment_process
how do i perform post-deployment checks?,deployment_process
who manages the deployment dashboard?,deployment_process
can i deploy from local machine?,deployment_process
what should i do after merging before deployment?,deployment_process
where do i file a deployment incident?,deployment_process
how does rollback automation work?,deployment_process
who authorizes production rollouts?,deployment_process
when should we avoid pushing new releases?,deployment_process
what is the correct way to deploy microservices?,deployment_process
how does the on-call engineer assist deployments?,deployment_process
who monitors deployment success rates?,deployment_process
show all commands related to deployment,deployment_process
where can i see staging deployment logs?,deployment_process
how do i rollback safely after failure?,deployment_process
any deployment best practices to follow?,deployment_process
what’s the notification process for deploys?,deployment_process
who handles weekend releases?,deployment_process
how often do we deploy production updates?,deployment_process
How do I set up my development environment?,dev_env_setup
What are the system requirements for developers?,dev_env_setup
Who should I contact for missing environment credentials?,dev_env_setup
Where do I find the monorepo link?,dev_env_setup
How do I clone the main repository?,dev_env_setup
What version of Python is required?,dev_env_setup
How can I create and activate a virtual environment?,dev_env_setup
Where do I get the .env file for setup?,dev_env_setup
What commands install dependencies for backend and frontend?,dev_env_setup
How do I start backend services locally?,dev_env_setup
How can I check if Docker is running?,dev_env_setup
Where can I verify Docker container health?,dev_env_setup
How do I start the frontend app locally?,dev_env_setup
Where do I access the local app?,dev_env_setup
What should I do if database connection fails?,dev_env_setup
How do I fix dependency issues?,dev_env_setup
What to do when Docker containers fail to start?,dev_env_setup
Who helps with environment setup issues?,dev_env_setup
Where can I find Docker troubleshooting documentation?,dev_env_setup
How do I reinstall my virtual environment?,dev_env_setup
What is the process to set up frontend dependencies?,dev_env_setup
Where should I copy the .env.example file?,dev_env_setup
How do I verify backend setup success?,dev_env_setup
Who provides secret credentials for local setup?,dev_env_setup
What is the recommended OS for development?,dev_env_setup
How much RAM do I need for Docker?,dev_env_setup
Who is the DevOps contact for setup support?,dev_env_setup
How do I run docker-compose up?,dev_env_setup
Where can I see the harri-backend container logs?,dev_env_setup
How do I fix broken dependencies in npm?,dev_env_setup
What command launches the backend server?,dev_env_setup
How do I run npm install for frontend?,dev_env_setup
Who maintains the development setup documentation?,dev_env_setup
What is the default localhost port for frontend?,dev_env_setup
Where can I check the backend health status?,dev_env_setup
How can I clear npm cache to fix issues?,dev_env_setup
What is the repository SSH clone command?,dev_env_setup
How do I troubleshoot Docker errors?,dev_env_setup
Where can I find the virtual environment folder?,dev_env_setup
Who do I contact if setup scripts fail?,dev_env_setup
"yo, how do i set up my dev env again?",dev_env_setup
"hey, what python version do we need?",dev_env_setup
can you remind me how to run docker compose?,dev_env_setup
where do i grab the .env file from?,dev_env_setup
"need to install deps for backend, right?",dev_env_setup
"my docker isn’t running, what do i do?",dev_env_setup
can you pull up the setup guide?,dev_env_setup
how do i fix broken venv?,dev_env_setup
who’s the devops contact?,dev_env_setup
pls send me the monorepo link,dev_env_setup
how do i set up a new dev machine?,dev_env_setup
where can i check system requirements?,dev_env_setup
how do i verify if setup completed?,dev_env_setup
any issues if i’m using macos?,dev_env_setup
what happens if docker isn’t installed?,dev_env_setup
how can i tell if the app runs locally?,dev_env_setup
is there a guide for docker config?,dev_env_setup
how do i run the app once setup is done?,dev_env_setup
any steps before activating venv?,dev_env_setup
what if npm install fails?,dev_env_setup
summarize the developer setup process,dev_env_setup
explain how to prepare my workstation,dev_env_setup
outline local environment configuration,dev_env_setup
list setup steps for backend engineers,dev_env_setup
describe how to configure docker environment,dev_env_setup
what’s the onboarding setup for devs?,dev_env_setup
who maintains local setup instructions?,dev_env_setup
where do i find harri setup docs?,dev_env_setup
how to rebuild my dev environment from scratch?,dev_env_setup
who handles environment issues?,dev_env_setup
show the setup workflow for new hires,dev_env_setup
what tools do i need before setup?,dev_env_setup
list dependencies for development setup,dev_env_setup
how to run the backend after setup?,dev_env_setup
what’s included in the setup guide?,dev_env_setup
any known issues with local dev setup?,dev_env_setup
who supports backend setup troubleshooting?,dev_env_setup
how do i rebuild containers for local dev?,dev_env_setup
what’s the process to reset my environment?,dev_env_setup
where can i check setup instructions for frontend?,dev_env_setup
can i skip docker for local dev?,dev_env_setup
when do i contact support for setup errors?,dev_env_setup
who should i ping if dependencies fail?,dev_env_setup
is node.js required for development?,dev_env_setup
how do i make sure all services are running?,dev_env_setup
what happens if docker ps shows nothing?,dev_env_setup
What is the escalation policy at Harri?,escalation_policy
When should an issue be escalated?,escalation_policy
Who is the first responder in an escalation?,escalation_policy
How do I page the on-call engineer?,escalation_policy
Where should I log incidents during escalation?,escalation_policy
What types of issues require escalation?,escalation_policy
Who should I contact for production outages?,escalation_policy
What are the steps in the escalation process?,escalation_policy
How long should I wait before escalating?,escalation_policy
Who manages escalations after one hour?,escalation_policy
Where can I find the escalation matrix?,escalation_policy
What information should be included in an escalation message?,escalation_policy
How do I communicate escalation updates?,escalation_policy
Who documents incidents in Jira?,escalation_policy
What’s the process for a postmortem?,escalation_policy
How do I conduct a blameless postmortem?,escalation_policy
Who leads incident postmortems?,escalation_policy
When do I escalate to management?,escalation_policy
How can I ensure clear communication during escalation?,escalation_policy
Where should incident updates be posted?,escalation_policy
Who is the secondary contact for escalations?,escalation_policy
What is the communication protocol during escalation?,escalation_policy
Who should handle unresolved incidents?,escalation_policy
When should I involve the Director of Engineering?,escalation_policy
How do I access PagerDuty for escalation?,escalation_policy
Who monitors the incident log?,escalation_policy
How do I summarize incidents for management?,escalation_policy
Where do I post escalation status updates?,escalation_policy
What is the expected escalation response time?,escalation_policy
How do I escalate a security breach?,escalation_policy
Who handles escalations involving data loss?,escalation_policy
What should I do after escalation is resolved?,escalation_policy
Where do I report escalation follow-ups?,escalation_policy
Who maintains the escalation documentation?,escalation_policy
How often are postmortems required?,escalation_policy
Where can I find PagerDuty access links?,escalation_policy
How are major incidents prioritized?,escalation_policy
Who approves escalation communication?,escalation_policy
How do I page engineering management?,escalation_policy
What incidents are considered critical?,escalation_policy
"hey, who’s on call right now?",escalation_policy
"yo, how do i escalate a prod issue?",escalation_policy
what’s the pagerduty link again?,escalation_policy
who do i ping for major outage?,escalation_policy
need to raise an incident asap,escalation_policy
how do i tell management about this issue?,escalation_policy
can you show me the escalation process?,escalation_policy
where do i post updates during an incident?,escalation_policy
anyone know the escalation chain?,escalation_policy
pls page the devops lead,escalation_policy
how do i start an escalation?,escalation_policy
where can i check who’s on-call?,escalation_policy
how do i know if escalation is needed?,escalation_policy
is there a list of escalation contacts?,escalation_policy
what happens after i escalate an issue?,escalation_policy
can i escalate through slack?,escalation_policy
who should handle open incidents?,escalation_policy
how do i notify everyone about an outage?,escalation_policy
where’s the escalation doc stored?,escalation_policy
any timeline for escalation resolution?,escalation_policy
summarize the company escalation protocol,escalation_policy
explain harri’s incident escalation procedure,escalation_policy
list the key escalation stages,escalation_policy
describe how to report an urgent issue,escalation_policy
give me escalation steps for production failure,escalation_policy
outline escalation process for system outage,escalation_policy
what’s the escalation workflow during downtime?,escalation_policy
who’s responsible for tracking escalations?,escalation_policy
where should we document critical incidents?,escalation_policy
how do we perform root cause analysis after escalation?,escalation_policy
who reviews escalation outcomes?,escalation_policy
how do we coordinate cross-team escalations?,escalation_policy
when should CTO be informed about incidents?,escalation_policy
what’s the proper format for incident reports?,escalation_policy
who’s accountable for escalation response?,escalation_policy
where can i find escalation templates?,escalation_policy
how often are escalations reviewed?,escalation_policy
who updates escalation guidelines?,escalation_policy
how do i log an escalation ticket in jira?,escalation_policy
what should be included in escalation summary?,escalation_policy
do we need to run a postmortem every time?,escalation_policy
who owns the escalation playbook?,escalation_policy
when do we involve other departments?,escalation_policy
how can i check previous escalation logs?,escalation_policy
is there a blameless policy for escalations?,escalation_policy
where can i find the on-call rotation?,escalation_policy
how do i verify escalation ownership?,escalation_policy
what’s the response SLA for escalations?,escalation_policy
who ensures escalation communication is updated?,escalation_policy
how do i identify the right escalation contact?,escalation_policy
where’s the escalation communication channel?,escalation_policy
who manages post-incident documentation?,escalation_policy
how do i prepare a report for leadership?,escalation_policy
what’s the follow-up action after incident resolution?,escalation_policy
when should i call the secondary contact?,escalation_policy
who’s the backup on-call engineer?,escalation_policy
how do i confirm escalation was received?,escalation_policy
What are the steps for developer onboarding at Harri?,onboarding_guide
How do I request access to internal tools?,onboarding_guide
Where can I find the onboarding documentation?,onboarding_guide
Who manages the onboarding process for new developers?,onboarding_guide
What should I do before submitting my first pull request?,onboarding_guide
Where can I find team contact information?,onboarding_guide
What is required during onboarding?,onboarding_guide
How do I set up my dev environment as a new hire?,onboarding_guide
Who approves access to company systems?,onboarding_guide
When should I join the #engineering-announcements channel?,onboarding_guide
What tools do I need for onboarding?,onboarding_guide
How do I learn about the team structure?,onboarding_guide
Where do I read about code review policies?,onboarding_guide
Who grants access to the GitHub repositories?,onboarding_guide
What is the first step after joining?,onboarding_guide
How do I get credentials for internal systems?,onboarding_guide
What channels should I join in Slack?,onboarding_guide
Where can I find company onboarding guidelines?,onboarding_guide
Who should I contact if I can’t access internal tools?,onboarding_guide
What documents should I review as part of onboarding?,onboarding_guide
How do I complete the onboarding checklist?,onboarding_guide
Who provides my system access during onboarding?,onboarding_guide
Where is the onboarding checklist stored?,onboarding_guide
What should I do after setting up my environment?,onboarding_guide
Who handles new hire setup requests?,onboarding_guide
How long does onboarding usually take?,onboarding_guide
When will I get access to company repositories?,onboarding_guide
How do I connect with my assigned team?,onboarding_guide
What policies should I read during onboarding?,onboarding_guide
Where do I find onboarding resources for developers?,onboarding_guide
How do I report onboarding issues?,onboarding_guide
Who can help if my account setup fails?,onboarding_guide
Where can I check my onboarding progress?,onboarding_guide
What are the expectations during onboarding?,onboarding_guide
Who should I email for onboarding questions?,onboarding_guide
How do I review company policies after onboarding?,onboarding_guide
Where can I access onboarding tutorials?,onboarding_guide
Who reviews onboarding completion?,onboarding_guide
What is the IT helpdesk contact for new hires?,onboarding_guide
How do I verify my onboarding is done?,onboarding_guide
"hey, how do i get started as a new dev?",onboarding_guide
"yo, who gives repo access?",onboarding_guide
need help with onboarding stuff,onboarding_guide
who approves new employee access?,onboarding_guide
can you show me the onboarding steps?,onboarding_guide
how do i get invited to the company slack?,onboarding_guide
where’s the onboarding doc again?,onboarding_guide
pls send the onboarding checklist,onboarding_guide
do we have an onboarding guide?,onboarding_guide
need to finish my onboarding setup,onboarding_guide
how do i join the team officially?,onboarding_guide
where do i ask for onboarding help?,onboarding_guide
is there a list of onboarding requirements?,onboarding_guide
how can i check onboarding tasks?,onboarding_guide
do i need to read any policies first?,onboarding_guide
how to get my access approved?,onboarding_guide
who assigns onboarding mentors?,onboarding_guide
anyone know where the onboarding doc is?,onboarding_guide
what’s the onboarding flow like?,onboarding_guide
how to find out who manages onboarding?,onboarding_guide
summarize developer onboarding process,onboarding_guide
explain new hire onboarding workflow,onboarding_guide
outline steps for onboarding engineers,onboarding_guide
describe onboarding procedure for staff,onboarding_guide
give me company onboarding overview,onboarding_guide
who coordinates onboarding activities?,onboarding_guide
what’s required to complete onboarding?,onboarding_guide
where do i find onboarding documentation for devs?,onboarding_guide
how to finish onboarding faster?,onboarding_guide
when do i get added to the slack channels?,onboarding_guide
what’s the checklist for onboarding?,onboarding_guide
who handles onboarding approvals?,onboarding_guide
where’s the onboarding portal?,onboarding_guide
who sends onboarding emails?,onboarding_guide
how does onboarding link to code review?,onboarding_guide
what tools are included in onboarding?,onboarding_guide
when do new devs get system access?,onboarding_guide
who tracks onboarding progress?,onboarding_guide
is onboarding done through IT helpdesk?,onboarding_guide
how do i know if onboarding is complete?,onboarding_guide
what happens after onboarding?,onboarding_guide
where can i find the onboarding checklist link?,onboarding_guide
who’s responsible for onboarding new devs?,onboarding_guide
can i get onboarding instructions emailed?,onboarding_guide
where’s the onboarding guide for engineering?,onboarding_guide
who helps with onboarding documentation?,onboarding_guide
how does onboarding connect with environment setup?,onboarding_guide
what channels to join after onboarding?,onboarding_guide
who finalizes onboarding approval?,onboarding_guide
how do i re-check onboarding status?,onboarding_guide
who provides onboarding support?,onboarding_guide
where do i report onboarding blockers?,onboarding_guide
how do i request onboarding resources?,onboarding_guide
who reviews onboarding checklists?,onboarding_guide
what should i read after finishing onboarding?,onboarding_guide
can i start contributing before onboarding finishes?,onboarding_guide
What is the team structure at Harri?,team_structure
Who leads the engineering department?,team_structure
List all teams and their leads.,team_structure
How many departments are there?,team_structure
Who manages the DevOps team?,team_structure
Where can I find the team hierarchy?,team_structure
What’s the organization structure for tech teams?,team_structure
Who oversees backend development?,team_structure
Which team handles frontend development?,team_structure
What’s the reporting line for QA?,team_structure
Who are the team leads for engineering?,team_structure
How is the product team organized?,team_structure
Who manages cross-functional teams?,team_structure
Where can I find the org chart?,team_structure
Who is the head of backend engineering?,team_structure
What roles exist in the management team?,team_structure
How does the DevOps team collaborate with backend?,team_structure
Who is in charge of frontend engineers?,team_structure
What’s the role of the technical director?,team_structure
How are the teams divided by product area?,team_structure
Who leads the data science department?,team_structure
What’s the communication flow between teams?,team_structure
Who handles infrastructure management?,team_structure
How many team leads are in engineering?,team_structure
Who manages full-stack developers?,team_structure
What’s the size of the backend team?,team_structure
Who oversees team assignments?,team_structure
Where can I view the company hierarchy?,team_structure
Who are the department heads?,team_structure
What’s the relationship between DevOps and QA?,team_structure
Who does the engineering manager report to?,team_structure
Which teams report directly to the CTO?,team_structure
How is leadership structured in tech?,team_structure
Who is the director of engineering?,team_structure
Which teams fall under product development?,team_structure
Who manages system architecture?,team_structure
How are the tech teams structured?,team_structure
Who’s responsible for the QA process?,team_structure
Where can I see the current team chart?,team_structure
"hey, who’s leading backend now?",team_structure
"yo, how’s the team set up these days?",team_structure
can you pull up the org chart?,team_structure
who’s in charge of devops?,team_structure
which team does qa report to?,team_structure
need to know who’s running frontend,team_structure
who’s managing data science team?,team_structure
pls show team hierarchy,team_structure
any update on who leads engineering?,team_structure
where do i find the org structure?,team_structure
how do i check company structure?,team_structure
where can i see team leads?,team_structure
who handles different teams?,team_structure
how do i know who reports to whom?,team_structure
is there a visual org chart somewhere?,team_structure
where do i look up department info?,team_structure
how to find team responsibilities?,team_structure
any info on department heads?,team_structure
how many teams do we have total?,team_structure
what’s the hierarchy like for tech org?,team_structure
summarize harri’s org chart,team_structure
explain how teams are structured,team_structure
outline engineering organization,team_structure
describe company hierarchy for developers,team_structure
give me an overview of the management structure,team_structure
who are the staff under CTO?,team_structure
what’s the leadership structure in tech?,team_structure
where’s the internal org chart?,team_structure
how is the dev team organized?,team_structure
who are the leads of product and QA?,team_structure
what’s the chain of command for backend?,team_structure
who are the members of management team?,team_structure
how many engineers per team?,team_structure
which roles fall under devops department?,team_structure
who coordinates between devops and engineering?,team_structure
where can i check leadership contacts?,team_structure
who manages multiple teams?,team_structure
how is responsibility divided between leads?,team_structure
who’s the senior most person in tech org?,team_structure
which departments collaborate on deployments?,team_structure
how do backend and frontend teams align?,team_structure
what are key roles within engineering leadership?,team_structure
who owns infrastructure and devops?,team_structure
which group handles application support?,team_structure
how’s the management hierarchy built?,team_structure
is there a public org chart available?,team_structure
who runs cross-functional teams?,team_structure
how do teams communicate between departments?,team_structure
who leads the architecture division?,team_structure
what are the main technical departments?,team_structure
who are the people in leadership roles?,team_structure
how do i access company org details?,team_structure
who reports to engineering director?,team_structure
what’s the internal team structure?,team_structure
who manages QA and automation?,team_structure
how often is team structure updated?,team_structure
"hey, how are you doing today?",out_of_scope
what’s your favorite color?,out_of_scope
do you like coffee or tea?,out_of_scope
tell me a joke,out_of_scope
can you sing a song?,out_of_scope
what’s your name?,out_of_scope
who created you?,out_of_scope
can we be friends?,out_of_scope
do you sleep?,out_of_scope
how old are you?,out_of_scope
what’s the weather like today?,out_of_scope
is it raining in new york?,out_of_scope
what’s the temperature in london?,out_of_scope
will it snow tomorrow?,out_of_scope
what’s the forecast for this week?,out_of_scope
how’s the weather in poland?,out_of_scope
will it be sunny today?,out_of_scope
should i bring an umbrella?,out_of_scope
is it cold outside?,out_of_scope
what’s the current humidity?,out_of_scope
who sings shape of you?,out_of_scope
recommend me a good movie,out_of_scope
what’s trending on netflix?,out_of_scope
who won the oscar last year?,out_of_scope
tell me about the new taylor swift album,out_of_scope
what’s a good comedy show to watch?,out_of_scope
play some jazz music,out_of_scope
who’s your favorite artist?,out_of_scope
what’s the best movie of all time?,out_of_scope
what songs are popular now?,out_of_scope
what’s 23 times 45?,out_of_scope
solve 5x + 3 = 18,out_of_scope
what’s the square root of 144?,out_of_scope
how many days are in a leap year?,out_of_scope
what’s the capital of japan?,out_of_scope
who invented the light bulb?,out_of_scope
what’s the largest planet?,out_of_scope
when was google founded?,out_of_scope
what is pi to 10 digits?,out_of_scope
how far is the moon from earth?,out_of_scope
should i quit my job?,out_of_scope
what’s the best diet plan?,out_of_scope
how can i be more productive?,out_of_scope
can you motivate me?,out_of_scope
how do i learn guitar?,out_of_scope
what’s the best way to fall asleep?,out_of_scope
how to make friends easily?,out_of_scope
what’s the healthiest food?,out_of_scope
how can i stop procrastinating?,out_of_scope
how do i get rich?,out_of_scope
what is microsoft’s mission statement?,out_of_scope
how do i apply to google?,out_of_scope
who is the ceo of tesla?,out_of_scope
what does apple stock cost today?,out_of_scope
when did amazon start?,out_of_scope
how much is netflix subscription?,out_of_scope
tell me about openai,out_of_scope
what’s the revenue of facebook?,out_of_scope
who owns twitter?,out_of_scope
what company makes chatgpt?,out_of_scope
how to bake a cake?,out_of_scope
what’s the recipe for pancakes?,out_of_scope
how do airplanes fly?,out_of_scope
can you draw me a cat?,out_of_scope
what’s the time in tokyo?,out_of_scope
can you translate this to french?,out_of_scope
what’s the distance from nyc to la?,out_of_scope
tell me an interesting fact,out_of_scope
how do i fix my phone?,out_of_scope
what’s the latest iphone model?,out_of_scope
"yo, what’s up?",out_of_scope
"hey bro, how’s your day?",out_of_scope
you watching the game tonight?,out_of_scope
do you know any memes?,out_of_scope
can you tell me a riddle?,out_of_scope
what’s your favorite food?,out_of_scope
are you single?,out_of_scope
what language do you speak?,out_of_scope
can you dance?,out_of_scope
what do you think about ai?,out_of_scope
Who is the Backend Lead at Harri?,employees_info
Find the email address for Ahmed Ali.,employees_info
Can you show me all the engineers on the backend team?,employees_info
I need contact info for Fatima Khalil.,employees_info
Which team does Sarah Odeh belong to?,employees_info
Who manages the frontend team?,employees_info
List all DevOps engineers.,employees_info
Who should I contact for deployment issues?,employees_info
Find all employees working under the DevOps department.,employees_info
Show me everyone in management.,employees_info
Who leads the backend development team?,employees_info
Give me details for Leen Qasem.,employees_info
What’s the role of Omar Shalabi?,employees_info
Find the Jira username of Adam Smith.,employees_info
Who is our Director of Engineering?,employees_info
List everyone with the title 'Engineer'.,employees_info
What is the team of Hossam Doleh?,employees_info
Show me all frontend developers.,employees_info
Who are the team leads in the company?,employees_info
Find all employees in the Backend department.,employees_info
Who works in the same team as Ahmed Ali?,employees_info
What is the email of the DevOps Lead?,employees_info
Who reports to the CTO?,employees_info
Can you list everyone in the engineering department?,employees_info
Show contact info for the DevOps Engineer.,employees_info
Who is the Senior Backend Engineer?,employees_info
What’s the role of Noor Jaber?,employees_info
Who should I reach out to for frontend bugs?,employees_info
Find the team structure for Harri employees.,employees_info
Which department handles deployments?,employees_info
List the names and emails of all leads.,employees_info
Who is currently responsible for DevOps operations?,employees_info
Give me all Jira usernames and their corresponding employees.,employees_info
Who can I contact in the Backend team?,employees_info
Who leads the DevOps team?,employees_info
List everyone in Management.,employees_info
Find all people who have 'Engineer' in their title.,employees_info
Who handles backend code reviews?,employees_info
Find all employees whose email ends with '@harri.com'.,employees_info
Who is in charge of technical leadership?,employees_info
Show all current employees at Harri.,employees_info
"hey, who’s the devops lead again?",employees_info
looking for john’s contact info,employees_info
can you pull up everyone in HR?,employees_info
email for fatima?,employees_info
who’s managing the backend folks?,employees_info
"yo, need the director’s email",employees_info
pls find omar’s role,employees_info
any idea who’s in frontend?,employees_info
pull up the management staff list,employees_info
show me who’s on the devops team,employees_info
how do i look up an employee?,employees_info
where can i check who’s on the frontend team?,employees_info
find employee info by name,employees_info
do we have a list of company staff?,employees_info
how can i get someone’s contact info?,employees_info
how to see who’s in which team?,employees_info
can i search employees by department?,employees_info
how do i know who reports to who?,employees_info
is there a way to check team members?,employees_info
where’s the company directory?,employees_info
list all staff in backend team,employees_info
who are the people in QA?,employees_info
show company personnel under marketing,employees_info
find all technical staff,employees_info
show me our engineering colleagues,employees_info
list all members of management,employees_info
who are the personnel in devops?,employees_info
who’s part of the leadership team?,employees_info
get me everyone from engineering staff,employees_info
pull all people from frontend department,employees_info
list everyone from backend section,employees_info
who’s handling infrastructure currently?,employees_info
who’s part of company leadership?,employees_info
do we have new hires in engineering?,employees_info
show me the dev team lineup,employees_info
who’s in the tech org chart?,employees_info
list personnel grouped by department,employees_info
anyone from QA available?,employees_info
which team does fatima belong to again?,employees_info
find all colleagues under backend,employees_info
who’s assigned to devops in jira?,employees_info
do we have anyone in the design team?,employees_info
list company staff directory,employees_info
who’s the head of engineering?,employees_info
give me details about technical personnel,employees_info
where can i check employee hierarchy?,employees_info
What is the status of ticket HARRI-123?,jira_ticket_status
Check ticket HARRI-128 for updates.,jira_ticket_status
Show me all open Jira tickets.,jira_ticket_status
Which tickets are currently in progress?,jira_ticket_status
